"","Year","Region","Population"
"1",1790,"North Kingstown",2907
"2",1800,"North Kingstown",2794
"3",1810,"North Kingstown",2967
"4",1820,"North Kingstown",3007
"5",1830,"North Kingstown",3036
"6",1840,"North Kingstown",2909
"7",1850,"North Kingstown",2971
"8",1860,"North Kingstown",3104
"9",1870,"North Kingstown",3568
"10",1880,"North Kingstown",3949
"11",1890,"North Kingstown",4193
"12",1900,"North Kingstown",4194
"13",1910,"North Kingstown",4048
"14",1920,"North Kingstown",3397
"15",1930,"North Kingstown",4270
"16",1940,"North Kingstown",4604
"17",1950,"North Kingstown",14810
"18",1960,"North Kingstown",18977
"19",1970,"North Kingstown",29793
"20",1980,"North Kingstown",21938
"21",1990,"North Kingstown",23786
"22",2000,"North Kingstown",26326
"23",2010,"North Kingstown",26486
"24",2020,"North Kingstown",27732
"25",1950,"Wickford",2487
"26",1960,"Wickford",2934
"27",1990,"Census Tract 503.02",2914
"28",2000,"Census Tract 503.02",2927
"29",2010,"Census Tract 503.02",2584
"30",2020,"Census Tract 503.02",2680
