location,depth.cm,%N,d15N.permil,%C.total,d13C.total,%C.organic,d13C.organic,%P.inorg,%P.total,%P.org,%BSi,%water,bulk.density.gcm3,accretion.rate.gcm2yr,median.grainsize.um,clay.pct,pebbles.pct,sand.pct,silt.pct,skewness.um,kurtosis.um,mean.grainsize.phi,median.grainsize.phi,sd.grainsize.phi,year.min,year.max,year.median,year.mean,outlier,N.P.ratio,C.N.ratio,C.P.ratio,cluster
Middle,1,0.575813011,8.696218875,5.852546035,-20.41618707,5.879222991,-20.24259896,0.009865197,0.023487397,0.0136222,12.32507457,65.14,0.29,0.082857143,64.2,0.167777778,0,48.13666667,51.69888889,0.249,1.303,5.76522124,6.004501392,1.675493936,2015.5,2019.2,2017.8,2017.7,FALSE,24.51582909,10.21029897,250.3139446,1
Middle,2,0.514470852,8.25,5.482643604,-20.0375,5.343067238,-19.91,0.010174725,0.024415998,0.014241273,11.45490318,65.01,0.31,0.075609756,67.3,0.296666667,0.07,49.51555556,50.12,0.279,1.26,5.790624563,6.0725346,1.726133144,2011.4,2015.5,2013.7,2013.6,FALSE,21.07105562,10.38555871,218.8346853,1
Middle,3,0.482474513,8.295,7.386832121,-19.87,4.984734943,-19.82,0.009563958,0.022615719,0.013051761,10.15616597,63.9,0.29,0.049152542,63.9,0.31,0,46.58111111,53.10111111,0.252,1.277,5.679198195,5.997744026,1.69197844,2003.6,2010.9,2007.8,2007.7,FALSE,21.33359162,10.33160261,220.4101909,1
Middle,4,0.480518003,8.819470191,5.084479167,-20.08658002,5.296437326,-20.22874124,0.01079452,0.023680688,0.012886168,10.57474562,64.14,0.29,0.048333333,56.6,0.377777778,0,45.20888889,54.41222222,0.237,1.253,5.618804774,5.822730148,1.704094498,1996,2006.5,2001.8,2001.7,FALSE,20.29155586,11.0223494,223.6606185,1
Middle,6,0.464325056,8.21,7.024975289,-20.05,4.957129067,-20.03,0.011377157,0.026538591,0.015161434,8.956849641,63.35,0.3,0.103448276,63.9,0.478888889,0,48.28777778,51.22111111,0.271,1.193,5.703532581,5.997744026,1.762226475,1988.3,2001.4,1996.1,1995.8,FALSE,17.49622112,10.67598872,186.7894594,1
Middle,8,0.468720707,8.611270238,5.014936002,-20.23632691,4.949592772,-19.90780842,0.011458808,0.025085936,0.013627127,8.453045824,61.9,0.34,0.082926829,58.9,0.444444444,0,46.10222222,53.44333333,0.269,1.199,5.598673653,5.880195729,1.695004795,1978.7,1995.1,1988.5,1988.1,FALSE,18.68460109,10.55979114,197.3054851,1
Middle,10,0.444864837,8.1,9.538406073,-20.19,4.773730684,-20.01,0.011844836,0.025902769,0.014057933,9.449602734,60.75,0.35,0.067307692,57.8,0.686666667,0,44.43916667,54.87583333,0.318,1.186,5.510989639,5.852997588,1.704292331,1966.4,1986.9,1978.5,1978,FALSE,17.1744124,10.73074401,184.2942229,1
Middle,12,0.415436444,8.572686961,4.65468726,-20.56811264,4.786828915,-19.91259144,0.015518,0.030337681,0.014819681,9.102743361,59.64,0.34,0.052307692,65.4,0.858888889,0.076666667,48.21333333,50.84888889,0.333,1.152,5.664468926,6.031218731,1.827878894,1952,1976.7,1965.8,1965.3,FALSE,13.69374422,11.52240971,157.7849314,1
Middle,14,0.364705559,8.315,6.388559719,-20.54,4.572900018,-20.24,0.013832703,0.030077067,0.016244364,8.783563316,58.14,0.37,0.056060606,63.3,0.792222222,0,47.56,51.64222222,0.279,1.185,5.650817341,5.984133595,1.80871206,1935.2,1965.7,1952.4,1951.8,FALSE,12.12570225,12.53860794,152.0394265,1
Middle,16,0.376220731,8.658734385,4.624641501,-21.01245178,4.471997388,-20.71219248,0.013465512,0.025146107,0.011680595,8.069587067,57.58,0.4,0.0625,56.3,0.931111111,0,44.07444444,54.98444444,0.361,1.148,5.549427969,5.815063017,1.852201861,1918.7,1955.7,1939.5,1939.2,FALSE,14.9613907,11.88663201,177.8405456,1
